Unnamed: 0,full_name,gender_age,fractions,probability,grade
0,Moses Kirckman,M14,69%,89%,11th grade
1,Timofei Strowan,M18,63%,76%,11th grade
2,Silvain Poll,M18,69%,77%,9th grade
3,Lezley Pinxton,M18,,72%,11th grade
4,Bernadene Saunper,F17,72%,84%,11th grade
5,Eldin Spitell,M16,,83%,11th grade
6,Christi Lesser,F17,86%,84%,9th grade
7,Papageno Rummin,M17,81%,77%,11th grade
8,Nissa Wrotchford,F18,68%,75%,12th grade
9,Vincent Blumer,M14,59%,,11th grade
10,Roanne Blomfield,F14,72%,86%,11th grade
11,Roanne Blomfield,F14,72%,86%,11th grade
12,Lyda Gandrich,F16,71%,83%,12th grade
13,Wanda Ivens,F18,85%,82%,10th grade
14,Jarvis Cluelow,M14,69%,85%,9th grade
15,Fabian Pratty,M18,77%,79%,12th grade
16,Kippy Grewer,M18,76%,76%,9th grade
17,Roanne Blomfield,F14,72%,86%,11th grade
18,Hedvig Switsur,F14,,77%,10th grade
19,Alene Paylie,F18,86%,79%,11th grade
20,Gwendolen Attwoul,F15,72%,91%,9th grade
21,Kevin Purkiss,M17,81%,83%,10th grade
22,Micky Beechcraft,M16,78%,87%,12th grade
23,Tybie Barrable,F15,,88%,12th grade
24,Judie Isakson,F15,67%,85%,10th grade
25,Harbert Traice,M16,70%,85%,12th grade
26,Erma Cowx,F15,61%,98%,12th grade
27,My Iskow,M15,74%,98%,10th grade
28,Mariann Sinott,F18,76%,76%,10th grade
29,Rad Hitcham,M14,77%,76%,10th grade
30,Rosalind Butterwick,F17,68%,,11th grade
31,Sherill Picton,F16,71%,79%,9th grade
32,Hadrian Yurshev,M16,84%,80%,10th grade
33,Andrea Cartmel,F16,81%,83%,12th grade
34,Kristoforo Wilcockes,M15,78%,78%,10th grade
35,Dyanne Raubenheim,F14,,80%,12th grade
36,Melly Hancill,F14,76%,72%,9th grade
37,Boyd Richt,M16,81%,81%,12th grade
38,Anthea Coleridge,F16,81%,70%,12th grade
39,Cad Shimoni,M14,75%,90%,11th grade
40,Jedidiah Berrick,M14,67%,92%,12th grade
41,Delaney Gartrell,M17,87%,81%,11th grade
42,Valentine Mattersley,F17,67%,84%,11th grade
43,Esta Woodger,F15,69%,89%,10th grade
44,Marsh Wyke,M14,90%,82%,10th grade
45,Hilliary Haycraft,F17,64%,79%,12th grade
46,Clo Galland,F16,82%,70%,10th grade
47,Reine Callingham,F16,69%,80%,11th grade
48,Carlie McQueen,M16,89%,82%,11th grade
49,Forrest Emery,M17,94%,81%,9th grade
50,Kerry Lilion,M18,80%,81%,10th grade
51,Penelopa Meace,F16,69%,79%,12th grade
52,Raine Raddenbury,F15,76%,82%,10th grade
53,Nerita Haslum,F17,78%,73%,11th grade
54,Trevor Andreopolos,M14,64%,82%,12th grade
55,Sargent Farlambe,M17,81%,76%,12th grade
56,Rolland Whotton,M16,64%,73%,12th grade
57,Vanny Lingard,F18,78%,80%,12th grade
58,Talbot Godney,M18,75%,77%,12th grade
59,D'arcy Farnfield,M17,74%,85%,10th grade
60,Matthaeus Skipworth,M15,70%,83%,12th grade
61,Roi Lethley,M17,71%,76%,12th grade
62,Beverie Slemmonds,F15,81%,83%,10th grade
63,Jessalyn Mateu,F17,90%,87%,12th grade
64,Sylvan Fonzo,M16,69%,78%,11th grade
65,Daron Gitsham,M15,79%,79%,10th grade
66,Dov Spriggin,M14,83%,79%,11th grade
67,Janene Perry,F17,69%,70%,12th grade
68,Tamara Livzey,F18,74%,81%,12th grade
69,Rutger Mumbey,M14,64%,83%,9th grade
70,Malcolm Klimkov,M16,75%,73%,12th grade
71,Sheppard Waszkiewicz,M18,75%,89%,10th grade
72,Madeleine Maier,F15,68%,71%,11th grade
73,Henrieta Brimilcombe,F17,72%,74%,10th grade
74,Bartel Archer,M15,84%,80%,9th grade
75,Lynde Hawtry,F16,,71%,9th grade
76,Laurie Manuel,M14,80%,84%,12th grade
77,Chen Morin,M14,74%,80%,12th grade
78,Christopher Lathbury,M16,79%,80%,12th grade
79,Randie Gilyott,M14,71%,88%,12th grade
80,Robyn Blindermann,F16,92%,74%,11th grade
81,Neron Klasen,M17,71%,94%,10th grade
82,Ilyssa Lindenman,F14,75%,75%,9th grade
83,Waneta Finnigan,F14,62%,,12th grade
84,Benyamin Lappine,M16,84%,85%,9th grade
85,Hasheem Carnihan,M15,79%,,10th grade
86,Sindee Whyke,F17,73%,80%,11th grade
87,Herbie Wheeler,M17,70%,81%,11th grade
88,Cosmo Swetmore,M15,76%,87%,9th grade
89,Guilbert Cheng,M18,81%,70%,11th grade
90,Sybyl Kneeland,F14,82%,83%,11th grade
91,Berte Disdel,F14,83%,86%,12th grade
